japan,romaji,chinese
季節,kisetsu,季节
冬,fuyu,冬天，冬季
春,haru,春天，春季
日本料理,Nihon ryouri,日式饭菜
寿司,sushi,寿司
梨,nashi,梨
香蕉,banana,香蕉
橘子,mikan,橘子
焼酎,shouchuu,烧酒
日本酒,Nihon shu,日本酒
紅茶,koucha,红茶
ウーロン茶,oolongcha,乌龙茶
ジャスミン茶,jasminecha,茉莉花茶
緑茶,ryokucha,绿茶
果汁,juusu,果汁
人気,ninki,声望，受欢迎
席,seki,座位，席位
班级,garasu,班级 
種類,shurui,种类
背,se,个子
兄,ani,哥哥，兄长
最近,saikin,最近，近来
降ります,furimasu,下(雨，雪)，降(雨，雪)
若い,wakai,年轻
暖かい,atatakai,暖和，温暖
涼しい,suzushii,凉爽
速い,hayai,快
大好き,daisuki,非常喜欢
一番,ichiban,最，第一
ずっと,zutto,～得多
やはり/やっぱり,yahari/yappari,仍然，还是
チョモランマ,Chomoranma,珠穆朗玛峰
人気があります,ninki ga arimasu,受欢迎 
