japan,romaji,chinese
荷物,nimotsu, 包裹
はがき,hagaki, 明信片
切手,kitte, 邮票
引き出し,hikidashi, 抽屉
アルバム,arubamu, 相册
タバコ,tabako, 烟，烟草
漫画,manga, 漫画
ガレージ,garage, 车库，汽车房
修理,shuri, 修理
居酒屋,izakaya, 酒馆
生ビール,nama-biiru, 生啤
焼き鳥,yakitori, 烤鸡肉串
唐揚げ,karage, 炸鸡，油炸食品
肉じゃが,niku-jaga, 土豆炖肉
ボーリング,booringu, 保龄球
髪,kami, 头发
象,zou, 象，大象
昼,hiru, 白天，中午
ほか,hoka, 另外，其他
かかります,kakari masu, 花费（时间，金钱）
咲きます,saki masu, 花开
泳ぎます,oyogi masu, 游泳
遊びます,asobi masu, 玩，玩耍
吸います,sui masu, 吸（烟）
切ります,kiri masu, 剪。切。割
だいたい,daitai, 大约，大概，大体
とりあえず,toriaezu, 暂且
