japan,romaji,chinese
紅葉,momiji,红叶
故郷,kokyou,故乡
通り,toori,大街
町,machi,城市，街道
所,tokoro,场所
お店,omise,餐馆；商店
人形,ningyou,玩偶
作品,sakuhin,作品
彫刻,choukoku,雕刻
自動車,jidousha,汽车
道具,dougu,工具
魚,sakana,鱼
お菓子,okashi,点心
物,mono,物品，东西
シーズン,shīzun,季节
修学旅行,shūgakuryokou,修学旅行
観光客,kankoukyaku,游客
作家,sakka,作家
部長,buchou,部长
平日,heijitsu,平日，非休息日
日,hi,日子
生活,seikatsu,生活
世界,sekai,世界
晴れ,hare,晴天
雨,ame,雨，下雨
曇り,kumori,阴天
雪,yuki,雪
汚い,kitanai,脏
きれい,kirei,漂亮，干净
有名,yuumei,有名
にぎやか,nigiyaka,热闹，繁华
静か,shizuka,安静
暇,hima,空闲
親切,shinsetsu,热情
好き,suki,喜欢
嫌い,kirai,讨厌
便利,benri,方便
不便,fuben,不方便
元気,genki,健康，有精神
簡単,kantann,简单
ハンサム,hansamu,英俊，帅气
どんな,donna,什么样的，怎样的
どう,dou,怎样，如何
いかが,ikaga,如何
いろいろ,iroiro,各种各样
でも,demo,可是，不过
そして,soshite,而且，于是
ところで,tokorode,（转换话题）哎
あれえ,aree,咦
奈良,Nara,奈良
富士山,Fuji san,富士山
もう少し,mou sukoshi,再~一点
